GrpId,ArtId,ArtPath,TitleId,AltTitleId,FlavorTextId,ReminderTextId,TypeTextId,SubtypeTextId,ArtistCredit,ArtSize,Rarity,ExpansionCode,DigitalReleaseSet,IsToken,IsPrimaryCard,IsDigitalOnly,IsRebalanced,RebalancedCardGrpId,DefunctRebalancedCardGrpId,AlternateDeckLimit,CollectorNumber,CollectorMax,UsesSideboard,OldSchoolManaText,LinkedFaceType,RawFrameDetail,Watermark,TextChangeData,Power,Toughness,Colors,ColorIdentity,FrameColors,IndicatorColors,Types,Subtypes,Supertypes,AbilityIds,HiddenAbilityIds,LinkedFaceGrpIds,LinkedAbilityTemplateCardGrpIds,AbilityIdToLinkedTokenGrpId,AbilityIdToLinkedConjurations,KnownSupportedStyles,AdditionalFrameDetails,ExtraFrameDetails,Tags,Order_LandLast,Order_ColorOrder,Order_CreaturesFirst,Order_ManaCostDifficulty,Order_CMCWithXLast,Order_Title,Order_MythicToCommon,Order_BasicLandsFirst
22911,86923,,7322,0,7323,0,8,1143,Wayne England,0,2,9ED,,0,1,0,0,0,0,0,269,350,0,o7oG,0,,,,7,6,5,5,5,,2,80,,,,,,,,,,,,0,4,0,1,8,scaledwurm,3,1
64261,400272,,51733,0,51734,0,16,0,Chase Stone,0,3,AER,AHA5,0,1,0,0,0,0,0,42,184,0,o3oUoU,0,U,,,,,2,2,2,,10,,,"157,1746",,,,,,DA,,,,0,1,1,2,5,reverseengineer,2,1
64663,400405,,52159,0,52160,0,7,0,Kirsten Zirngibl,0,4,AER,AHA4,0,1,0,0,0,0,0,160,184,0,o3,0,A,,,,,,,,,1,,,76765,,,,,,"DA,SCHEMATIC",,,,0,31,1,0,3,inspiringstatuary,1,1
77106,418782,,498208,0,498209,0,7,919,Jarel Threat,0,2,AFR,,0,1,0,0,0,0,0,1,281,0,o1oW,0,W artifact,,,,,1,1,1,,1,28,,"2512,1156",,,,,,DA,,,,0,0,1,1,2,2mace,3,1
77107,418775,,498210,0,498211,0,8,2309,Justyna Gil,0,2,AFR,,0,1,0,0,0,0,0,2,281,0,o3oW,0,W,,,2,3,1,1,1,,2,52,,"8,119634:498212",,,,,,"DA,RLB",,,,0,0,0,1,4,arboreapegasus,3,1
77108,418788,,498213,0,498214,0,8,433569,Oriana Menendez,0,3,AFR,,0,1,0,0,0,0,0,3,281,0,o2oW,0,W,,,1,1,1,1,1,,2,379,,"3,143558:498216",,,,,,"DA,RLB",,,,0,0,0,1,3,blinkdog,2,1
77109,418804,,498218,0,1,0,261614,0,Daniel Ljunggren,0,5,AFR,,0,1,0,0,0,0,0,4,281,0,oWoWoW,0,W artifact legendary,,,,,1,1,1,,1,,2,"143559,143560:498221",2688,,,143559:77367,,DA,,,,0,0,1,3,3,thebookofexalted,0,1
77110,418773,,498222,0,498223,0,8,11842,Johannes Voss,0,2,AFR,,0,1,0,0,0,0,0,5,281,0,o2oW,0,W,,,3,2,1,1,1,,2,275,,92970:498224,,,,,,"DA,RLB",,,,0,0,0,1,3,celestialunicorn,3,1
77111,418795,,498225,0,1,0,9,498226,Alayna Danner,0,3,AFR,,0,1,0,0,0,0,0,6,281,0,oW,0,W Class,,,,,1,1,1,,3,400,,"133622,143561,146500,143563,143564,146501,165599","143563,165599",,,,,,,,,0,0,1,1,1,clericclass,2,1
77112,418783,,498233,0,1,0,261533,3931,Mark Zug,0,3,AFR,,0,1,0,0,81185,0,0,7,281,0,o2oW,0,W artifact,,,0,4,1,1,1,,"1,2",147,,"143567:498235,143568:498237",,,,,,"DA,RLB",,,,0,0,0,1,3,cloistergargoyle,2,1
77113,418799,,498238,0,1,0,7,919,Wisnu Tan,0,4,AFR,,0,1,0,0,0,0,0,8,281,0,o1oW,0,W artifact,,,,,1,1,1,,1,28,,"2848,143569:498240,1268",,,,,,DA,,,,0,0,1,1,2,dancingsword,1,1
77114,418776,,498241,0,1,0,8,50229,Lie Setiawan,0,2,AFR,,0,1,0,0,0,0,0,9,281,0,o1oW,0,W,,,1,3,1,1,1,,2,"39,16",,143572:498245,"145728:543055,145729:543057,145730:543060",,,,,DA,,,,0,0,0,1,2,dawnbringercleric,3,1
77115,418778,,498247,0,498248,0,7,919,Bram Sels,0,2,AFR,,0,1,0,0,0,0,0,10,281,0,o1oW,0,W artifact,,,,,1,1,1,,1,28,,"1314,143573,1156",,,,,,DA,,,,0,0,1,1,2,delverstorch,3,1
77116,416203,,498250,0,498252,0,8,498251,Chris Rallis,0,2,AFR,,0,1,0,0,0,0,0,11,281,0,o4oW,0,W,,,4,4,1,1,1,,2,"221,45",,143574:498254,,,,,,DA,,,,0,0,0,1,5,devotedpaladin,3,1
77117,418791,,498256,0,498257,0,10,0,Bryan Sola,0,3,AFR,,0,1,0,0,0,0,0,12,281,0,o1oW,0,W,,,,,1,1,1,,4,,,143575,,,,,,DA,,,,0,0,1,1,2,divinesmite,2,1
77118,418796,,498259,0,1,0,8,266686,Lucas Graciano,0,3,AFR,,0,1,0,0,0,0,0,13,281,0,o1oW,0,W,,,1,3,1,1,1,,2,"39,48",,"143576:498261,143577",,,,,,DA,,,,0,0,0,1,2,dragonsdisciple,2,1
77119,418768,,498263,0,498264,0,8,262461,Miguel Mercado,0,2,AFR,,0,1,0,0,81929,0,0,14,281,0,o1oW,0,W,,,3,1,1,1,1,,2,"130,77",,143578:498266,,,,,,DA,,,,0,0,0,1,2,dwarfholdchampion,3,1
77120,418797,,498267,0,498268,0,8,771,Brian Valeza,0,4,AFR,,0,1,0,0,0,0,0,15,281,0,o1oW,0,W,,,0,4,1,1,1,,2,167,,"2,8,143579:498270",,,,,,DA,,,,0,0,0,1,2,flumph,1,1
77121,418772,,498271,0,498273,0,8,498272,Tomas Duchek,0,2,AFR,,0,1,0,0,0,0,0,16,281,0,o2oW,0,W,,,2,3,1,1,1,,2,"130,401",,143580:498275,,,,,,DA,,,,0,0,0,1,3,gloomstalker,3,1
77122,418803,,498276,0,1,0,261939,498277,Ekaterina Burmak,1,5,AFR,,0,1,0,0,0,0,0,17,281,0,o2oWoW,0,"W planeswalker, 3 abilities",,,,3,1,1,1,,8,395,2,"143581:498279,143582,143583",,,,,,"DA,MP",,,,0,0,1,2,4,grandmasterofflow,0,1
77123,416322,,498282,0,1,0,8,272453,Brian Valeza,0,4,AFR,,0,1,0,0,0,0,0,18,281,0,o1oWoW,0,W,,,3,2,1,1,1,,2,"68,45",,"7,15,143584:498284",,,,,,DA,,,,0,0,0,2,3,guardianoffaith,1,1
77124,418774,,498285,0,498287,0,8,498286,Zoltan Boros,0,2,AFR,,0,1,0,0,0,0,0,19,281,0,o3oW,0,W,,,1,4,1,1,1,,2,"39,27,48",,"15,143585",,,,,,DA,,,,0,0,0,1,4,halfelfmonk,3,1
77125,418802,,498290,0,1,0,261554,1318,Matt Stewart,0,5,AFR,,0,1,0,0,0,0,0,20,281,0,o2oWoW,0,W legendary,,,4,3,1,1,1,,2,21,2,"8,15,143587:498293","4712,143586",,,143587:77368,,"DA,FF,RLB",,,,0,0,0,2,4,icingdeathfrostty,0,1
77126,418786,,498294,0,1,0,8,261697,Nicholas Elias,0,3,AFR,,0,1,0,0,0,0,0,21,281,0,o1oW,0,W,,,1,1,1,1,1,,2,"39,4",,"143588:498296,143589:498298",,,,,,DA,,,,0,0,0,1,2,ingenioussmith,2,1
77127,418787,,498299,0,498300,0,8,50231,Viko Menezes,0,3,AFR,,0,1,0,0,0,0,0,22,281,0,o1oW,0,W,,,2,1,1,1,1,,2,"39,64",,"2655,143590",,,,,,DA,,,,0,0,0,1,2,keenearedsentry,2,1
77128,418767,,498302,0,498303,0,8,433569,Dmitry Burmak,0,4,AFR,,0,1,0,0,0,0,0,23,281,0,o1oW,0,W,,,3,1,1,1,1,,2,379,,"15,143591:498305",,,,,,DA,,,,0,0,0,1,2,loyalwarhound,1,1
77129,418781,,498306,0,1,0,9,426,Steve Prescott,0,2,AFR,,0,1,0,0,0,0,0,24,281,0,o2oW,0,W,,,,,1,1,1,,3,6,,"19562,143592:552329",183,,,,,DA,,,,0,0,1,1,3,minimuscontainment,3,1
77130,418784,,498308,0,498310,0,8,498309,Bryan Sola,0,3,AFR,,0,1,0,0,0,0,0,25,281,0,oW,0,W,,,1,1,1,1,1,,2,"27,48",,143593:498312,,,,,,DA,,,,0,0,0,1,1,monkoftheopenhan,2,1
77131,418789,,498314,0,498316,0,8,498315,Marta Nael,0,3,AFR,,0,1,0,0,0,0,0,26,281,0,o2oW,0,W,,,3,2,1,1,1,,2,"39,27,16",,143594:498318,,,,,,DA,,,,0,0,0,1,3,moonblessedcleric,2,1
77132,418798,,498319,0,1,0,261554,498320,Aaron Miller,0,4,AFR,,0,1,0,0,0,0,0,27,281,0,o2oW,0,W legendary,,,3,3,1,1,1,,2,"21,45",2,"15,143595:498322,143596",,,,,,"DA,RLB",,,,0,0,0,1,3,nadaarselflesspal,1,1
77133,416372,,498324,0,498326,0,261554,498325,Steven Belledin,0,4,AFR,,0,1,0,0,0,0,0,28,281,0,o1oW,0,W legendary,,,2,2,1,1,1,,2,"148,4",2,143597,,,,,,"DA,RLB",,,,0,0,0,1,2,oswaldfiddlebender,1,1
77134,418801,,498329,0,1,0,9,498226,Campbell White,0,4,AFR,,0,1,0,0,0,0,0,29,281,0,oW,0,W Class,,,,,1,1,1,,3,400,,"143598,143599,146502,1456,143564,146503,143600","1456,143600",,,,,,,,,0,0,1,1,1,paladinclass,1,1
77135,416206,,498333,0,1,0,7,919,Alayna Danner,0,2,AFR,,0,1,0,0,0,0,0,30,281,0,o1oW,0,W artifact,,,,,1,1,1,,1,28,,"7,93125:498334,143601,1156",,,,,,DA,,,,0,0,1,1,2,paladinsshield,3,1
77136,418777,,498336,0,498337,0,8,497,Marta Nael,0,2,AFR,,0,1,0,0,0,0,0,31,281,0,o3oWoW,0,W,,,3,3,1,1,1,,2,1,,"8,143602:498339",,,,,,DA,,,,0,0,0,2,5,planarally,3,1
77137,418792,,498340,0,1,0,7,919,Martina Pilcerova,0,3,AFR,,0,1,0,0,81930,0,0,32,281,0,o2oW,0,W artifact,,,,,1,1,1,,1,28,,"143603,143604",,,,,,DA,,,,0,0,1,1,3,platearmor,2,1
77138,418793,,498343,0,498344,0,7,0,John Stanko,0,3,AFR,,0,1,0,0,0,0,0,33,281,0,oW,0,W artifact,,,,,1,1,1,,1,,,143605:498346,,,,,,DA,,,,0,0,1,1,1,portablehole,2,1
77139,416210,,498347,0,498348,0,7,0,Pauline Voss,0,2,AFR,,0,1,0,0,0,0,0,34,281,0,o1oW,0,W artifact,,,,,1,1,1,,1,,,"86788:498349,143606:498351",,,,,,DA,,,,0,0,1,1,2,potionofhealing,3,1
77140,418771,,498352,0,498353,0,8,266032,Jarel Threat,0,2,AFR,,0,1,0,0,0,0,0,35,281,0,o2oW,0,W,,,2,1,1,1,1,,2,"130,16",,143607:498355,,,,,,DA,,,,0,0,0,1,3,priestofancientlo,3,1
77141,418794,,498356,0,498357,0,10,0,Vincent Proce,0,3,AFR,,0,1,0,0,0,0,0,36,281,0,o2oW,0,W,,,,,1,1,1,,4,,,143608,,,,,,DA,,,,0,0,1,1,3,rallymaneuver,2,1
77142,418770,,498359,0,498360,0,8,385,Robin Olausson,0,2,AFR,,0,1,0,0,0,0,0,37,281,0,oW,0,W,,,1,1,1,1,1,,2,12,,"8,143609",,,,,,DA,,,,0,0,0,1,1,rangershawk,3,1
77143,418769,,498362,0,498363,0,8,414051,Chris Rallis,0,2,AFR,,0,1,0,0,0,0,0,38,281,0,o1oW,0,W,,,2,2,1,1,1,,2,"130,45",,12,,,,,,DA,,,,0,0,0,1,2,steadfastpaladin,3,1
77144,418800,,498364,0,498365,0,9,0,Chris Cold,0,4,AFR,,0,1,0,0,0,0,0,39,281,0,o3oW,0,W,,,,,1,1,1,,3,,,143610,,,,,,DA,,,,0,0,1,1,4,teleportationcircle,1,1
77145,418785,,498367,0,498368,0,8,261538,Sebastian Giacobino,0,2,AFR,,0,1,0,0,0,0,0,40,281,0,o3oW,0,W,,,3,4,1,1,1,,2,"39,77",,143567:498369,,,,,,DA,,,,0,0,0,1,4,veterandungeoneer,3,1
77146,418790,,498370,0,498371,0,8,1318,Billy Christian,0,3,AFR,,0,1,0,0,0,0,0,41,281,0,o4oWoW,0,W,,,4,4,1,1,1,,2,21,,"8,143611:498373",,,,,,"DA,FF",,,,0,0,0,2,6,whitedragon,2,1
77147,418780,,498375,0,1,0,10,0,Zezhou Chen,0,2,AFR,,0,1,0,0,0,0,0,42,281,0,o1oW,0,W,,,,,1,1,1,,4,,,143613,"145731,145732",,,,,DA,,,,0,0,1,1,2,youhearsomethingo,3,1
77148,418779,,498379,0,498380,0,10,0,Eric Deschamps,0,2,AFR,,0,1,0,0,0,0,0,43,281,0,oW,0,W,,,,,1,1,1,,4,,,143614,"145733,145734",,,,,DA,,,,0,0,1,1,1,youreambushedont,3,1
77149,418824,,498383,0,1,0,8,498384,Lius Lasahido,0,3,AFR,,0,1,0,0,0,0,0,44,281,0,o4oU,0,U,,,3,4,2,2,2,,2,"39,27,61",,144223:502600,,,,,,DA,,,,0,1,0,1,5,aberrantmindsorcer,2,1
77150,418812,,498390,0,498391,0,8,611,Kari Christensen,0,2,AFR,,0,1,0,0,0,0,0,45,281,0,o4oUoU,0,U,,,2,5,2,2,2,,2,25,,"8,143618:498393",,,,,,DA,,,,0,1,0,2,6,aircultelemental,3,1
77151,418806,,498394,0,1,0,8,267618,Bram Sels,0,2,AFR,,0,1,0,0,0,0,0,46,281,0,o1oU,0,U,,,2,1,2,2,2,,2,"27,78",,144224,,,,,,DA,,,,0,1,0,1,2,arcaneinvestigator,3,1
77152,418818,,498399,0,498400,0,10,0,Johannes Voss,0,2,AFR,,0,1,0,0,0,0,0,47,281,0,o2oU,0,U,,,,,2,2,2,,4,,,143622,,,,,,DA,,,,0,1,1,1,3,barthegate,3,1
77153,418836,,498402,0,1,0,261614,0,Anna Steinbauer,0,4,AFR,,0,1,0,0,0,0,0,48,281,0,oU,0,U artifact legendary,,,,,2,2,2,,1,,2,"88307:498403,143623:498405",,,,,,DA,,,,0,1,1,1,1,theblackstaffofwa,1,1
77154,418825,,498407,0,1,0,8,1318,Svetlin Velinov,0,3,AFR,,0,1,0,0,0,0,0,49,281,0,o5oUoU,0,U,,,5,5,2,2,2,,2,21,,"8,143624:498409",,,,,,"DA,FF",,,,0,1,0,2,7,bluedragon,2,1
77155,418819,,413712,0,1,0,9,426,Zoltan Boros,0,2,AFR,,0,1,0,0,0,0,0,50,281,0,o1oUoU,0,U,,,,,2,2,2,,3,6,,"1027,89789:413713,88178",,,,,,DA,,,,0,1,1,2,3,charmedsleep,3,1
77156,416133,,498411,0,498413,0,8,498412,Zoltan Boros,0,2,AFR,,0,1,0,0,0,0,0,51,281,0,o2oU,0,U,,,2,3,2,2,2,,2,"148,78",,143625,,,,,,DA,,,,0,1,0,1,3,cleverconjurer,3,1
77157,416138,,498416,0,1,0,10,0,Alix Branwyn,0,2,AFR,,0,1,0,0,0,0,0,52,281,0,o3oU,0,U,,,,,2,2,2,,4,,,144225,,,,,,DA,,,,0,1,1,1,4,contactotherplane,3,1
77158,418840,,498421,0,1,0,8,293333,Daniel Zrom,0,5,AFR,,0,1,0,0,81072,0,0,53,281,0,oUoUoUoU,0,U,,,4,3,2,2,2,,2,"63,78",,"143630,143631:498424,143632:498426",,,,,,DA,,,,0,1,0,4,4,demilich,0,1
77159,418822,,498427,0,498428,0,8,262473,Bryan Sola,0,3,AFR,,0,1,0,0,0,0,0,54,281,0,o2oU,0,U,,,3,2,2,2,2,,2,"14,10",,"143567:498429,143633:498431",,,,,,"DA,RLB",,,,0,1,0,1,3,displacerbeast,2,1
77160,418809,,498433,0,1,0,8,2303,Livia Prima,0,2,AFR,,0,1,0,0,0,0,0,55,281,0,o3oU,0,U,,,3,3,2,2,2,,2,20,,"8,144245:506818",,,,,,"DA,RLB",,,,0,1,0,1,4,djinniwindseer,3,1
77161,418834,,498439,0,1,0,8,498439,Dan Scott,0,4,AFR,,0,1,0,0,0,0,0,56,281,0,o1oUoU,0,U,,,3,5,2,2,2,,2,"21,273",,"7,143638:498441",,,,,,"DA,RLB",,,,0,1,0,2,3,dragonturtle,1,1
77162,418820,,498443,0,1,0,8,498444,Campbell White,0,3,AFR,,0,1,0,0,0,0,0,57,281,0,o2oU,0,U,,,2,2,2,2,2,,2,"394,78",,"8,143567:498445,143639",,,,,,DA,,,,0,1,0,1,3,eccentricapprentice,2,1
77163,416273,,498447,0,498449,0,8,498448,Iris Compiet,0,3,AFR,,0,1,0,0,0,0,0,58,281,0,o2oU,0,U,,,2,2,2,2,2,,2,"148,368",,143640,,,,143640:77370,,DA,,,,0,1,0,1,3,feywildtrickster,2,1
77164,418814,,498451,0,1,0,9,426,Lie Setiawan,0,3,AFR,,0,1,0,0,0,0,0,59,281,0,oU,0,U,,,,,2,2,2,,3,6,,"1027,143642",143641,,,,,DA,,,,0,1,1,1,1,fly,2,1
77165,418821,,498454,0,498455,0,261554,748,Alexander Mokhov,0,4,AFR,,0,1,0,0,0,0,0,60,281,0,o1oUoU,0,U legendary,,,3,2,2,2,2,,2,160,2,"137467,143643",,,,,,DA,,,,0,1,0,2,3,grazilaxxillithid,1,1
77166,422480,,498457,0,498458,0,8,283503,Mike Jordana,0,3,AFR,,0,1,0,0,0,0,0,61,281,0,o1oU,0,U,,,1,1,2,2,2,,2,"221,56",,"90260:498459,143644:498461",,,,,,DA,,,,0,1,0,1,2,guildthief,2,1
77167,418839,,498463,0,1,0,261554,1318,Wisnu Tan,0,5,AFR,,0,1,0,0,0,0,0,62,281,0,o3oUoU,0,U legendary,,,5,5,2,2,2,,2,21,2,"8,143645:498465,143646",,,,,,"DA,FF,RLB",,,,0,1,0,2,5,iymrithdesertdoom,0,1
77168,418833,,498467,0,498468,0,8,748,Daarken,0,4,AFR,,0,1,0,0,0,0,0,63,281,0,o3oUoU,0,U,,,3,3,2,2,2,,2,160,,143647:498470,,,,,,"DA,RLB",,,,0,1,0,2,5,mindflayer,1,1
77169,413963,,498472,0,1,0,261939,498472,Ryan Pancoast,1,5,AFR,,0,1,0,0,0,0,0,64,281,0,o4oUoU,0,"U planeswalker, 3 abilities",,,,5,2,2,2,,8,398,2,"143648,143650,143651","143649,1640",,,143650:77369,,"DA,MP",,,,0,1,1,2,6,mordenkainen,0,1
77170,418817,,498477,0,498478,0,10,0,Oriana Menendez,0,2,AFR,,0,1,0,0,0,0,0,65,281,0,o1oU,0,U,,,,,2,2,2,,4,,,143652:552330,,,,,,DA,,,,0,1,1,1,2,mordenkainenspolym,3,1
77171,416370,,498480,0,498481,0,8,3452,Fariba Khamseh,0,2,AFR,,0,1,0,0,0,0,0,66,281,0,o1oU,0,U,,,1,3,2,2,2,,2,140,,"8,143653",,,,,,"DA,RLB",,,,0,1,0,1,2,pixieguide,3,1
77172,418835,,498484,0,1,0,16,0,Brian Valeza,0,3,AFR,,0,1,0,0,0,0,0,67,281,0,o2oU,0,U,,,,,2,2,2,,10,,,144227,,,,,,DA,,,,0,1,1,1,3,powerofpersuasion,2,1
77173,418826,,498489,0,1,0,9,426,Kim Sokol,0,3,AFR,,0,1,0,0,0,0,0,68,281,0,o1oU,0,U,,,,,2,2,2,,3,6,,"7,1027,143658:498491,143659,88178",,,,,,DA,,,,0,1,1,1,2,rayoffrost,2,1
77174,418811,,498493,0,498494,0,8,31786,Matt Stewart,0,2,AFR,,0,1,0,0,0,0,0,69,281,0,o3oUoU,0,U,,,4,5,2,2,2,,2,"32,77",,143660,,,,,,"DA,RLB",,,,0,1,0,2,5,rimeshieldfrostgia,3,1
77175,418807,,498496,0,1,0,8,498497,Cristi Balanescu,0,2,AFR,,0,1,0,0,0,0,0,70,281,0,o2oU,0,U,,,2,1,2,2,2,,2,"394,61",,"7,144246:506820",,,,,,DA,,,,0,1,0,1,3,scionofstygia,3,1
77176,418805,,498503,0,498504,0,261533,2125,Francisco Miyara,0,2,AFR,,0,1,0,0,0,0,0,71,281,0,oU,0,U artifact,,,0,4,2,2,2,,"1,2",76,,"2,143664",,,,,,DA,,,,0,1,0,1,1,secretdoor,3,1
77177,418813,,498506,0,498507,0,10,0,Jason Felix,0,2,AFR,,0,1,0,0,0,0,0,72,281,0,o1oU,0,U,,,,,2,2,2,,4,,,"143665,25848",,,,,,DA,,,,0,1,1,1,2,shockinggrasp,3,1
77178,418810,,498509,0,498510,0,8,261834,Artur Treffner,0,2,AFR,,0,1,0,0,0,0,0,73,281,0,o3oU,0,U,,,2,5,2,2,2,,2,"39,56",,143666:498512,,,,,,DA,,,,0,1,0,1,4,shortcutseeker,3,1
77179,418823,,498513,0,498514,0,261533,385,Joe Slucher,0,2,AFR,,0,1,0,0,0,0,0,74,281,0,oU,0,U artifact,,,1,1,2,2,2,,"1,2",12,,"8,91717:498515",,,,,,DA,,,,0,1,0,1,1,silverraven,3,1
77180,418808,,498516,0,498517,0,8,267552,Miguel Mercado,0,2,AFR,,0,1,0,0,0,0,0,75,281,0,o2oU,0,U,,,3,2,2,2,2,,2,"27,56",,92932:498518,,,,,,DA,,,,0,1,0,1,3,soulknifespy,3,1
77181,416334,,498519,0,498520,0,16,0,Zoltan Boros,0,3,AFR,,0,1,0,0,0,0,0,76,281,0,o3oUoU,0,U,,,,,2,2,2,,10,,,143667,,,,,,DA,,,,0,1,1,2,5,splittheparty,2,1
77182,418829,,498522,0,498523,0,10,0,Dan Scott,0,3,AFR,,0,1,0,0,0,0,0,77,281,0,o4oUoU,0,U,,,,,2,2,2,,4,,,143668,,,,,,DA,,,,0,1,1,2,6,suddeninsight,2,1
77183,418837,,498525,0,498526,0,16,0,Ilse Gort,0,4,AFR,,0,1,0,0,0,0,0,78,281,0,o1oUoU,0,U,,,,,2,2,2,,10,,,143669,,,,,,DA,,,,0,1,1,2,3,tashashideouslaug,1,1
77184,418827,,498528,0,498529,0,7,919,Sam White,0,3,AFR,,0,1,0,0,0,0,0,79,281,0,oU,0,U artifact,,,,,2,2,2,,1,28,,"143671,1319",143670,,,,,DA,,,,0,1,1,1,1,tricksterstalisman,2,1
77185,418838,,498533,0,498534,0,10,0,Steve Prescott,0,4,AFR,,0,1,0,0,0,0,0,80,281,0,o4oUoU,0,U,,,,,2,2,2,,4,,,143672,,,,,,DA,,,,0,1,1,2,6,truepolymorph,1,1
77186,418830,,498536,0,1,0,9,498226,Marta Nael,0,3,AFR,,0,1,0,0,81073,0,0,81,281,0,oU,0,U Class,,,,,2,2,2,,3,400,,"1640,143673,146504,143674,143675,146505,133191","143674,133191",,,,,,,,,0,1,1,1,1,wizardclass,2,1
77187,418828,,498540,0,1,0,7,0,Iris Compiet,0,4,AFR,,0,1,0,0,0,0,0,82,281,0,o5oUoU,0,U artifact,,,,,2,2,2,,1,,,144229:502609,147007,,,,,DA,,,,0,1,1,2,7,wizardsspellbook,1,1
77188,422898,,498546,0,1,0,10,0,Viko Menezes,0,2,AFR,,0,1,0,0,83639,0,0,83,281,0,o1oU,0,U,,,,,2,2,2,,4,,,143680,"145735,145736",,,,,DA,,,,0,1,1,1,2,youcometoariver,3,1
77189,418816,,498549,0,498550,0,10,0,Gabor Szikszai,0,2,AFR,,0,1,0,0,0,0,0,84,281,0,o1oUoU,0,U,,,,,2,2,2,,4,,,143681,"145737,145738",,,,,DA,,,,0,1,1,2,3,youfindthevillain,3,1
77190,416141,,498553,0,498554,0,10,0,Mila Pesic,0,2,AFR,,0,1,0,0,0,0,0,85,281,0,oU,0,U,,,,,2,2,2,,4,,,143683,"145739,145740",,,,,DA,,,,0,1,1,1,1,youseeaguardappr,3,1
77191,418831,,498558,0,498560,0,8,498559,Oriana Menendez,0,4,AFR,,0,1,0,0,0,0,0,86,281,0,o1oU,0,U,,,2,1,2,2,2,,2,"256,56",,"88813:498561,143666:498562",,,,,,DA,,,,0,1,0,1,2,yuantimalison,1,1
